dropout_rate,learning_rate,lstm_units,model,accuracy,precision,recall,f1_score,cohen_kappa
0.2,0.001,32,LSTM tune 0,0.5036,0.5036,1.0,0.6699,0.0
0.2,0.001,64,LSTM tune 1,0.5036,0.5036,1.0,0.6699,0.0
0.2,0.001,128,LSTM tune 2,0.5036,0.5036,1.0,0.6699,0.0
0.2,0.0005,32,LSTM tune 3,0.5036,0.5036,1.0,0.6699,0.0
0.2,0.0005,64,LSTM tune 4,0.5036,0.5036,1.0,0.6699,0.0
0.2,0.0005,128,LSTM tune 5,0.5036,0.5036,1.0,0.6699,0.0
0.4,0.001,32,LSTM tune 6,0.5036,0.5036,1.0,0.6699,0.0
0.4,0.001,128,LSTM tune 8,0.5036,0.5036,1.0,0.6699,0.0
0.4,0.0005,64,LSTM tune 10,0.5036,0.5036,1.0,0.6699,0.0
0.4,0.0005,128,LSTM tune 11,0.5036,0.5036,1.0,0.6699,0.0
0.4,0.001,64,LSTM tune 7,0.4964,0.0,0.0,0.0,0.0
0.4,0.0005,32,LSTM tune 9,0.4945,0.0,0.0,0.0,-0.0036
